Date,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-1-1,2004.0,1.0,1.0,4.0,1375.228277483833,1373.0252774710907,1534.4152143193594,1539.6290313208206,2224.3792782846185,125.35927932171455,128.48765181009938,107.296808761187,0.7841497880357984,4.1004703115814225,743.4920099947702,8.27258992387704,14.642686966122378,0.011563716659887268,0.0015108373525480852,2.288105061305131,0.5428554825963159,1.8593177988261955,0.0070312046022430125,1.560985530826893
2004-1-10,2004.0,1.0,10.0,6.0,1314.4708086546598,1309.4394129228567,1480.0738656987296,1480.5165562913908,2223.273014736591,123.90012099213551,127.26114193663862,105.11651542649727,1.6437386569872958,5.362685845521576,734.064375633912,8.822444961517808,14.667203627468528,0.012827396933357198,0.0009545969810870473,2.7075353499194557,0.3309468408806157,1.7312809498239963,0.06461428315732952,1.8871189069864567
2004-1-11,2004.0,1.0,11.0,7.0,1374.0754458161866,1371.3380684887113,1529.9186008139918,1535.6437830830723,2177.203521659285,122.24370256297438,124.9041806200713,103.77664723352767,1.1988230117698824,4.488285322359396,715.1280112347413,7.949983796046236,14.562277195635735,0.015609808793345576,0.0023225667062763316,2.4453386626336826,0.25737279896294696,1.435346224478773,0.045641136437290696,1.737063843577833
2004-1-12,2004.0,1.0,12.0,1.0,1344.4333680374805,1339.2986973180077,1506.463042118432,1503.004853128991,2176.079182630907,121.16863010842368,122.89389527458493,102.96283361134279,2.10487906588824,4.288339406559084,697.6963473818646,7.406641123882503,14.997037037037037,0.01864623243933589,0.0013282247765006386,2.144367816091954,0.3566794380587484,2.2675862068965515,0.023601532567049808,1.927969348659004
2004-1-13,2004.0,1.0,13.0,2.0,1341.132880391847,1342.1937948238228,1504.3155508697944,1506.251896892215,2174.736202057998,120.01175540326832,122.59567612514292,102.42467053241961,-2.059146020031629,0.9028809185232001,695.3739216297682,7.489242282507016,14.564338426359006,0.013252260679763019,0.0008834840453175346,1.5888681010289991,0.1589231888577071,1.2167654090011433,0.010497869244361293,0.8832241970689118
2004-1-14,2004.0,1.0,14.0,3.0,1350.8319494294744,1343.0946472145786,1507.7844234079173,1507.0404444213696,2174.4038211930847,123.56777108433735,122.6509527023519,104.06723321858864,6.091006884681583,6.038785021696041,695.7219251336899,8.409636052126057,16.19116349099216,0.03083952027412907,0.003893878822491044,2.005191838429988,1.175587975702196,3.933544468096153,0.015315923368464773,2.536420746586366
2004-1-15,2004.0,1.0,15.0,4.0,1355.1681434488544,1340.176476604449,1511.0802919708028,1503.9014062899514,2169.7035029404246,123.31428871501339,122.95581692661723,103.61271858425668,7.648637294543927,7.417658470088607,698.3724367169522,7.794272564561493,16.155970340066478,0.024648427512145233,0.001534134492457172,2.576169777550499,0.8456660700588085,3.737253899258502,0.014523139861927896,3.2099718742009715
2004-1-16,2004.0,1.0,16.0,5.0,1350.9190604583637,1339.9479916296636,1506.7884235685337,1503.4399530444546,2165.275608635737,123.41619037722124,123.12244168835808,104.03507222279954,8.669074093318091,8.655968059732448,699.9468177410299,7.9554943091920585,15.92563670698719,0.015668861328025314,0.0020415454499055786,2.803501250446588,0.8039095595365692,3.5881182054815497,0.03516562037462359,3.6674832848466288
2004-1-17,2004.0,1.0,17.0,6.0,1321.1895465216853,1308.782525433872,1488.2604631005447,1479.7518850987433,2229.9029922202276,126.73346953937593,127.45529622980251,107.50575780089153,6.416790490341754,7.843692079574941,735.4511071214841,7.767444643925793,15.898264512268103,0.031358467983243564,0.0020347097546379415,2.517115499700778,0.5577498503889886,4.660622381807301,0.015499700777977259,2.695870736086176
2004-1-18,2004.0,1.0,18.0,7.0,1381.2074824284687,1371.637147505423,1539.8160008864756,1536.3887201735358,2176.0965835140996,124.90852678818771,125.2808568329718,104.9481965759876,7.644412432821763,8.490896009740439,717.3229934924078,8.140130151843818,16.22619305856833,0.020119305856832973,0.0010845986984815619,2.6693058568329717,1.1225596529284165,4.405043383947939,0.006724511930585683,3.0216377440347073
